kod_consumer;name_consumer;kod_grp;kod_seti;kod_rem;kod_otr;kod_podotr
73110900;"ТОВ ""Транс-Гнівань""";109;7;731;26;61
73110901;"ТОВ ""ВАЛРОМ  Україна""";109;7;731;29;62
73110902;Київський з-д Г та ЛВ;109;7;731;26;61
73113500;"ДП ВАТ ""Сутиски АЕА""";135;7;731;29;33
73113501;ннн;135;7;731;29;33
73113502;"ТОВ з-д ""ЖМЗ""";135;7;731;29;33
73113503;"ТОВ ""Автопластгума""";135;7;731;29;33
73113504;ННН;135;7;731;29;62
73113505;"ВТФ ""Контакт""";135;7;731;29;62
73115200;"ПрАТ ""Гнівань ""СЗБ""";152;7;731;36;63
73115201;ннн;152;7;731;36;63
73115202;"ТОВ ""Будіндустрія 09""";152;7;731;36;63
73115203;"ТОВ ""Гнівань кар""єр""";152;7;731;36;63
73115204;ННН;152;7;731;36;63
73115205;ННН;152;7;731;36;63
73130000;ПП Азарний Е.С.;300;7;731;41;65
73130002;"ПрАТ ""Гніванське ХПП""";300;7;731;41;65
73130003;"ТОВ ""Молочний дім""";300;7;731;41;65
73130005;"РП ""Агромаш"" Красне";300;7;731;29;62
73130046;Продовольча компанія;300;7;721;41;65
73133600;ннн;336;7;731;43;43
73135700;ннн;357;7;731;52;52
73170101;ннн;701;7;731;29;62
73171700;БМУ - 3;717;7;731;49;49
73171701;"КП ""Реставратор""";717;7;731;49;49
73172101;ННН;721;7;731;45;66
73172102;ННН;721;7;731;45;66
73172103;АТП 10566;721;7;731;45;66
73172104;ННН;721;7;731;45;66
73173000;ннн;730;7;731;36;63
73189900;ПП Федоренко;899;7;731;52;52
73189901;"СТОВ ""Жахнівка""";899;7;731;52;52
73189902;"ТОВ""Агропродсервіс""";899;7;731;43;43
73189903;Проф. ліцей ДПТНЗ;899;7;731;44;44
73189904;"ПП ""Гран Майстер""";899;7;731;44;44
73189905;ЦРЛ;899;7;731;52;52
73189906;"МК ВНАУ ""Олімпія""";899;7;732;52;52
73189907;"ТОВ ""ЛОСК ""Маяк ЛТД""";899;7;731;43;43
73189908;ПП Шафієв Г.Д.;899;7;731;52;52
73189909;"ТОВ ""Рітон""";899;7;731;44;44
73189910;ннн;899;7;731;52;52
73189911;ннн;899;7;731;52;52
73189912;"ПП ""Колісниченко""";899;7;731;52;52
73189913;Буд.інтерннат смт.Тиврів;899;7;731;52;52
73189914;Вороницький буд.інтерн.;899;7;731;52;52
73201100;Власне споживання;11;7;732;10;10
73201200;Корисний відпуск;12;7;732;17;17
73201700;Втрати в иережах;17;7;732;15;15
73201800;Виробничі потреби;18;7;732;16;16
73203000;ннн;30;7;732;44;44
73203001;ПрАТ Рахни РММ майстерня;30;7;732;50;67
73203002;ТОВ Вінтер- Контракт с. Д;30;7;732;50;67
73203101;ТОВ Лучезар м.Шаргород цк;31;7;732;50;51
73203200;Освітлення;32;7;732;52;52
73204000;Сільгоспспоживачі;40;7;732;44;44
73204001;"ПП""Золотий колос""";40;7;732;44;44
73204002;"СТОВ ""Світанок""";40;7;732;44;44
73204003;СТОВ Хлібороб господарств;40;7;732;44;44
73204004;"ФГ"" Агро-Дар""";40;7;732;44;44
73204005;ФГКалитинка Вікторія МТФ;40;7;732;44;44
73204006;ФГ Слобідське ТІК;40;7;732;44;44
73204007;ПП Зведенівське господарс;40;7;732;44;44
73204008;ПП Юхимівське с. Юентр го;40;7;732;44;44
73204009;ПП Юхимівське господарсто;40;7;732;44;44
73204010;ПП Рідний край с. Деребчи;40;7;732;44;44
73215000;ннн;150;7;732;35;35
73215001;ннн;150;7;732;36;63
73215200;"ПП ""Сівекс"" с.Рахни-Лісов";152;7;732;36;63
73215201;"ЗАТ ""Цегельний завод""";152;7;732;36;63
73215202;Джурин шахтоупр.(ш Лиса);152;7;732;36;63
73215203;Джурин шахтоупр.(ц.госп);152;7;732;36;63
73230000;ФОП Старий О.П. млин;300;7;732;41;65
73230001;ннн;300;7;732;41;65
73230003;ТОВ Бізнес - Союз Укр.-П;300;7;732;44;44
73230004;Мурафський кар'єр;300;7;732;36;63
73230005;ФОП Хашко Г.Я.с.Джурин;300;7;732;29;62
73230006;"ТОВ ""Шаргородцукор""";300;7;732;41;65
73230007;Шаргородський маслозавод;300;7;732;41;65
73230008;"Шаргород. РП ""Агромаш""";300;7;732;29;62
73230010;"Шаргород РП ""Агромаш""Р Л ";300;7;732;29;62
73230011;ТОВ Шаргородрайагробуд;300;7;732;29;62
73230012;"""Ваш продукт""";300;7;732;41;65
73230013;Райагропроменерго;300;7;732;29;62
73230014;"СТОВ ""Колос"" (кар""єр)";300;7;732;36;63
73230015;ФОП Хашко Г.Я. ливс.Джури;300;7;732;41;65
73233600;"ТОВ ""Луї Дрейфус Україна""";336;7;732;43;43
73233601;"ТОВ ""Еколінія"" склади";336;7;732;43;43
73233602;"ТОВ ""Луї Дрейфус Укр""нова";336;7;732;43;43
73233603;"ДП""Векта-Він""";336;7;732;43;43
73233604;"ТОВ ""Еколінія"" млин";336;7;732;43;43
73234500;ТОВ ВКФ Квіт с. Пеньківка;345;7;732;35;35
73235700;ннн;357;7;732;52;52
