kod_consumer	name_consumer	kod_grp	kod_seti	kod_rem	kod_otr	kod_podotr
72530016	"ТОВ ""Еко-Сфера"" Калинівка"	300	7	725	41	65
72571700	"ТОВ ""Фабрика Дом"""	717	7	725	36	63
72589903	Кал.в/ч А-1119	899	7	725	52	52
72589912	"В/ч А-3028 ""Ягуар"""	899	7	725	52	52
72601100	Власне споживання	11	7	726	10	10
72601200	Корисний відпуск	12	7	726	17	17
72601700	Втрати в вмережах	17	7	726	15	15
72603200	Освітлення	32	7	726	52	52
72604000	Сільгоспспоживачі	40	7	726	44	44
72604001	"ЗАТ ""Юзефо-Миколаїв. АПК"	40	7	726	44	44
72615200	"ПрАТ ""Глухівецький ГЗКК"""	152	7	726	36	63
72615201	"ПАТ ""Жежелів кар'єр"""	152	7	726	36	63
72615202	"ТОВ ""АКВ УКТ"""	152	7	726	36	63
72615210	ТОВ СОКА Україна	152	7	726	36	63
72630001	"ПрАТ ""СП Агромаш"""	300	7	726	29	62
72630004	"ПАТ""Козятин мясокомбінат"""	300	7	726	41	65
72630011	"ТОВ ""Осі ФУД Солюшнс"""	300	7	726	41	65
72701100	Власне споживання	11	7	727	10	10
72701200	Корисний відпуск	12	7	727	17	17
72701700	Втрати в вмережах	17	7	727	15	15
72701800	Виробничі потреби	18	7	727	16	16
72703200	Освітлення і побут	32	7	727	52	52
72704000	Сільгоспспоживачі	40	7	727	44	44
72704004	"ПАТ ""ПлемзаводЛітинський"""	40	7	727	44	44
72713100	"ТОВ ВП ""Маріо"""	131	7	727	29	62
72730002	Літинський молокозавод	300	7	727	41	65
72730005	Літинський м'ясокомбінат	300	7	727	41	65
72801100	Власне споживання	11	7	728	10	10
72801200	Корисний відпуск	12	7	728	17	17
72801600	Виробничі потреби	16	7	728	16	16
72801700	Втрати в мережах	17	7	728	15	15
72803200	Освітлення	32	7	728	52	52
72804000	Сільгоспспоживачі	40	7	728	44	44
72815200	Мур.Кур. цегельний з-д	152	7	728	36	63
72830001	"ПрАТ ""Завод ""Регіна"""	300	7	728	41	65
72833600	"ТзОВ ""Котюжани Зерно"" ХПП"	336	7	728	43	43
73101100	Власне споживання	11	7	731	10	10
73101200	Корисний відпуск	12	7	731	17	17
73101600	Виробничі потреби	16	7	731	16	16
73101700	Втрати в мережах	17	7	731	15	15
73103200	Освітлення і побут	32	7	731	52	52
73104000	Сільгоспспоживачі	40	7	731	44	44
73104002	"ТОВ ""Агро Інвест Україна"""	40	7	731	44	44
73104009	"ТОВ ""Агро -Еталон"""	40	7	731	44	44
73110900	"ТОВ ""Транс-Гнівань"""	109	7	731	26	61
73110901	"ТОВ ""ВАЛРОМ  Україна"""	109	7	731	29	62
73113503	"ТОВ ""Автопластгума"""	135	7	731	29	33
73115200	"ПрАТ ""Гнівань ""СЗБ"""	152	7	731	36	63
73115203	"ТОВ ""Гнівань кар""єр"""	152	7	731	36	63
73130002	"ПрАТ ""Гніванське ХПП"""	300	7	731	41	65
73130005	"РП ""Агромаш"" Красне"	300	7	731	29	62
73189909	"ТОВ ""Рітон"""	899	7	731	44	44
73201100	Власне споживання	11	7	732	10	10
